epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2396,3.19403,4.07591,4.23415,0.00344,0.58581,0.00428,0.0014,2.92308,4.30448,4.15087,0.00327586,0.00327586,0.00327586
2,105.048,3.19018,3.9886,4.09766,0.00278,0.51131,0.00779,0.00188,3.10242,4.41709,3.98511,0.00658739,0.00658739,0.00658739
3,158.341,2.68928,3.64523,3.37486,0.08266,0.19438,0.07112,0.02954,2.54873,4.68728,3.84683,0.00987691,0.00987691,0.00987691
4,208.939,2.14266,3.07386,2.66854,0.09115,0.27551,0.07518,0.02733,2.47402,5.5952,3.51047,0.009901,0.009901,0.009901
5,260.329,1.81977,2.59584,2.30391,0.14739,0.30894,0.16098,0.07797,2.26003,4.21622,3.06075,0.009868,0.009868,0.009868
6,310.467,1.70055,2.3516,2.18001,0.31701,0.33808,0.26091,0.11433,2.17944,3.62433,2.92908,0.009835,0.009835,0.009835
7,360.493,1.63611,2.21223,2.09407,0.29303,0.28938,0.24649,0.13289,2.07179,3.81296,2.79396,0.009802,0.009802,0.009802
8,411.053,1.59014,2.10513,2.0379,0.56994,0.35023,0.3134,0.15335,1.9948,3.14911,2.65423,0.009769,0.009769,0.009769
9,461.36,1.56158,2.02188,1.98177,0.52068,0.39357,0.37137,0.20375,1.98158,2.78933,2.60529,0.009736,0.009736,0.009736
10,512.017,1.50163,1.92507,1.92273,0.49469,0.43128,0.43903,0.24237,1.86911,2.30927,2.49657,0.009703,0.009703,0.009703
11,562.468,1.52557,1.92268,1.93655,0.45453,0.44693,0.40816,0.22036,1.85679,2.54128,2.37278,0.00967,0.00967,0.00967
12,612.177,1.4697,1.84693,1.88923,0.54875,0.43607,0.44137,0.24838,1.86554,2.32849,2.395,0.009637,0.009637,0.009637
13,662.736,1.45959,1.82361,1.86205,0.59819,0.46641,0.4845,0.28103,1.73582,2.07424,2.26931,0.009604,0.009604,0.009604
14,713.251,1.44037,1.76734,1.84903,0.48765,0.4692,0.45566,0.26159,1.77741,2.20993,2.29579,0.009571,0.009571,0.009571
