epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3865,3.20254,4.1295,4.23003,0.00352,0.58574,0.00397,0.00134,2.91519,4.31129,4.16367,0.00327586,0.00327586,0.00327586
2,45.5627,3.24335,4.12209,4.21064,0.00352,0.5863,0.00417,0.00142,2.91885,4.31497,4.15463,0.00658739,0.00658739,0.00658739
3,67.0354,3.13045,3.99294,3.99097,0.00961,0.09821,0.00808,0.00149,3.03625,5.94892,4.26261,0.00987691,0.00987691,0.00987691
4,88.5321,2.66225,3.65173,3.19596,0.29914,0.0332,0.02085,0.01015,2.64136,5.18191,3.39874,0.009901,0.009901,0.009901
5,109.846,2.3656,3.21676,2.83842,0.14892,0.12644,0.07576,0.03134,2.60541,4.26332,3.33761,0.009868,0.009868,0.009868
6,131.026,2.05429,2.74748,2.49417,0.73956,0.24731,0.22132,0.12431,2.16696,3.59083,3.00827,0.009835,0.009835,0.009835
7,152.242,1.83896,2.41906,2.2565,0.70949,0.24213,0.24064,0.1412,2.14606,3.36949,3.00001,0.009802,0.009802,0.009802
8,173.307,1.72195,2.26818,2.13529,0.43539,0.3875,0.36762,0.2219,1.82539,2.47467,2.57765,0.009769,0.009769,0.009769
9,194.453,1.66814,2.13869,2.06112,0.4397,0.37146,0.37386,0.20861,1.93747,2.54338,2.58398,0.009736,0.009736,0.009736
10,215.79,1.59521,2.02887,1.98465,0.40943,0.40545,0.38314,0.22282,1.89813,2.39001,2.46076,0.009703,0.009703,0.009703
11,237.036,1.6142,2.01983,1.98793,0.5576,0.37227,0.38741,0.23933,1.88586,2.59052,2.38288,0.00967,0.00967,0.00967
12,258.178,1.54728,1.92043,1.93301,0.4316,0.44029,0.41393,0.25275,1.81447,2.31939,2.36245,0.009637,0.009637,0.009637
13,279.147,1.54219,1.90055,1.90858,0.57734,0.43083,0.44278,0.27249,1.79182,2.1688,2.29219,0.009604,0.009604,0.009604
14,300.191,1.51856,1.84774,1.88883,0.52134,0.47208,0.46222,0.26943,1.80845,2.20001,2.26343,0.009571,0.009571,0.009571
15,321.31,1.50327,1.81334,1.86164,0.54057,0.47397,0.4678,0.29092,1.68996,2.08879,2.16984,0.009538,0.009538,0.009538
16,342.428,1.46898,1.76387,1.82991,0.58251,0.45978,0.45703,0.2794,1.68978,2.10908,2.23107,0.009505,0.009505,0.009505
17,363.586,1.46839,1.75971,1.8243,0.50053,0.50394,0.48702,0.2952,1.69577,2.19157,2.14385,0.009472,0.009472,0.009472
18,384.665,1.46309,1.74854,1.82066,0.58503,0.50171,0.49791,0.30364,1.7025,1.92999,2.13571,0.009439,0.009439,0.009439
19,405.627,1.44425,1.70061,1.79459,0.64375,0.51578,0.53581,0.32722,1.66933,1.88795,2.1003,0.009406,0.009406,0.009406
20,426.803,1.42981,1.70135,1.79212,0.5912,0.5357,0.5221,0.32767,1.62443,1.95687,2.05533,0.009373,0.009373,0.009373
21,447.893,1.42265,1.6668,1.77627,0.61476,0.50066,0.50937,0.32881,1.6309,1.87824,2.12013,0.00934,0.00934,0.00934
22,469.01,1.40406,1.66856,1.75351,0.61296,0.49486,0.52428,0.31008,1.68341,1.8662,2.0968,0.009307,0.009307,0.009307
23,490.097,1.40506,1.62651,1.75303,0.61267,0.52145,0.53075,0.32441,1.65838,1.94042,2.06337,0.009274,0.009274,0.009274
24,511.17,1.41562,1.62152,1.74503,0.61985,0.50717,0.53939,0.34028,1.61906,1.75612,2.0393,0.009241,0.009241,0.009241
25,532.317,1.38793,1.5978,1.72891,0.57864,0.50962,0.51926,0.32683,1.63749,1.85374,2.04084,0.009208,0.009208,0.009208
26,553.442,1.36769,1.57199,1.71842,0.649,0.53173,0.55535,0.3465,1.58652,1.8043,1.99952,0.009175,0.009175,0.009175
27,574.614,1.37361,1.54477,1.71406,0.69096,0.54175,0.56773,0.33916,1.62928,1.72165,2.04711,0.009142,0.009142,0.009142
28,595.674,1.35642,1.54183,1.70545,0.67215,0.53021,0.56668,0.35738,1.58813,1.68506,1.98452,0.009109,0.009109,0.009109
29,616.759,1.35628,1.53862,1.69827,0.69072,0.53774,0.55558,0.35591,1.57576,1.72522,2.04679,0.009076,0.009076,0.009076
30,637.833,1.36615,1.53053,1.70161,0.67561,0.54192,0.55495,0.33862,1.59629,1.84749,1.96722,0.009043,0.009043,0.009043
31,659.013,1.34797,1.49711,1.68083,0.68549,0.55851,0.59043,0.36095,1.58734,1.71891,1.93741,0.00901,0.00901,0.00901
32,680.057,1.33558,1.48382,1.66837,0.63239,0.56696,0.58194,0.35293,1.54481,1.67739,1.94936,0.008977,0.008977,0.008977
33,700.967,1.34305,1.49609,1.68012,0.67739,0.55966,0.58534,0.36994,1.55235,1.65977,1.90453,0.008944,0.008944,0.008944
34,722.008,1.32068,1.45793,1.66202,0.63211,0.53684,0.55042,0.33366,1.66387,1.74407,1.98081,0.008911,0.008911,0.008911
35,743.02,1.31281,1.4491,1.65323,0.68177,0.55854,0.57644,0.36776,1.5068,1.60517,1.92287,0.008878,0.008878,0.008878
36,764.094,1.30712,1.42915,1.64921,0.67115,0.53732,0.56363,0.34337,1.59944,1.77395,1.95418,0.008845,0.008845,0.008845
37,785.078,1.29929,1.43345,1.65522,0.70275,0.58895,0.60842,0.38254,1.51225,1.55645,1.89589,0.008812,0.008812,0.008812
38,806.147,1.29218,1.39756,1.63984,0.6945,0.53985,0.5846,0.36776,1.54065,1.62215,1.89536,0.008779,0.008779,0.008779
39,827.251,1.28474,1.40629,1.6382,0.71433,0.59125,0.62249,0.39634,1.49502,1.56283,1.87974,0.008746,0.008746,0.008746
40,848.348,1.29511,1.40761,1.64313,0.7193,0.57966,0.62593,0.38023,1.56792,1.55776,1.91645,0.008713,0.008713,0.008713
41,869.4,1.28632,1.38796,1.63115,0.72275,0.56035,0.61401,0.38473,1.52727,1.49282,1.88538,0.00868,0.00868,0.00868
42,890.494,1.29169,1.40061,1.62649,0.75849,0.59233,0.63762,0.40184,1.50844,1.51884,1.86891,0.008647,0.008647,0.008647
43,911.571,1.28694,1.37984,1.63169,0.73627,0.58246,0.62496,0.40131,1.48014,1.46826,1.83189,0.008614,0.008614,0.008614
44,932.613,1.27925,1.374,1.62807,0.71801,0.55876,0.6018,0.37518,1.53953,1.61866,1.90454,0.008581,0.008581,0.008581
45,953.646,1.26649,1.36495,1.61026,0.72681,0.55253,0.60605,0.37801,1.56075,1.55821,1.90036,0.008548,0.008548,0.008548
46,974.667,1.25551,1.35578,1.61205,0.77258,0.57419,0.6386,0.40537,1.49248,1.43528,1.81723,0.008515,0.008515,0.008515
47,995.733,1.28645,1.37566,1.62467,0.77745,0.56,0.62977,0.40502,1.47885,1.48689,1.83678,0.008482,0.008482,0.008482
48,1016.79,1.24586,1.32365,1.59064,0.73,0.58515,0.6371,0.40979,1.47251,1.43384,1.81627,0.008449,0.008449,0.008449
49,1037.66,1.25162,1.32129,1.59997,0.75763,0.60199,0.64332,0.41965,1.427,1.37343,1.80398,0.008416,0.008416,0.008416
50,1058.71,1.24803,1.3337,1.60231,0.71245,0.5927,0.63253,0.39843,1.52849,1.4681,1.8765,0.008383,0.008383,0.008383
51,1079.72,1.24295,1.31693,1.59421,0.73137,0.60626,0.63745,0.41902,1.46107,1.40345,1.83535,0.00835,0.00835,0.00835
52,1100.9,1.23473,1.29388,1.58928,0.73024,0.60593,0.6504,0.4163,1.46556,1.3988,1.80662,0.008317,0.008317,0.008317
53,1121.81,1.23181,1.28949,1.57941,0.72558,0.57275,0.62971,0.40535,1.46655,1.45022,1.80847,0.008284,0.008284,0.008284
54,1142.85,1.23799,1.30287,1.58895,0.73997,0.61073,0.65525,0.41893,1.44887,1.38388,1.8194,0.008251,0.008251,0.008251
55,1163.93,1.2461,1.29339,1.58401,0.73998,0.59624,0.64901,0.41921,1.4531,1.41726,1.79271,0.008218,0.008218,0.008218
56,1184.98,1.23325,1.28302,1.58492,0.71729,0.6222,0.65413,0.42805,1.42108,1.34631,1.77659,0.008185,0.008185,0.008185
57,1206.07,1.21291,1.26437,1.56669,0.73923,0.61438,0.65693,0.41846,1.4621,1.41792,1.80681,0.008152,0.008152,0.008152
58,1227.09,1.18557,1.23855,1.54829,0.75616,0.61997,0.66471,0.43767,1.4252,1.33245,1.78309,0.008119,0.008119,0.008119
