epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7211,3.19723,4.11511,4.25574,0.00341,0.58248,0.00446,0.00149,2.9174,4.31714,4.16694,0.00327586,0.00327586,0.00327586
2,50.9441,3.24449,4.142,4.21896,0.0057,0.06698,0.00504,0.00152,2.90279,5.21988,4.77417,0.00658739,0.00658739,0.00658739
3,73.352,3.19854,4.0284,4.10697,0.00653,0.15117,0.00361,0.00105,3.32165,3098,81.9067,0.00987691,0.00987691,0.00987691
4,94.5777,2.7102,3.6215,3.30486,0.06908,0.16942,0.02789,0.00784,3.4289,289.53,16.5317,0.009901,0.009901,0.009901
5,115.809,2.1231,3.06157,2.65595,0.39779,0.2115,0.11025,0.05847,2.44997,5.87503,4.26116,0.009868,0.009868,0.009868
6,137.018,1.81459,2.68595,2.32369,0.12113,0.30643,0.11167,0.06342,2.08426,3.77077,3.04497,0.009835,0.009835,0.009835
7,158.321,1.68622,2.4605,2.15889,0.25516,0.337,0.23712,0.13552,1.98126,3.41188,2.71276,0.009802,0.009802,0.009802
8,179.568,1.62157,2.29465,2.07638,0.70375,0.18317,0.14396,0.08319,1.92415,4.03585,2.71745,0.009769,0.009769,0.009769
9,200.724,1.5784,2.1407,2.01087,0.40881,0.44278,0.39815,0.24333,1.77626,2.40926,2.39319,0.009736,0.009736,0.009736
10,221.865,1.51523,2.01867,1.94725,0.31889,0.39824,0.34875,0.20583,1.7769,2.68377,2.36614,0.009703,0.009703,0.009703
11,243.12,1.53979,1.99326,1.95546,0.58938,0.45588,0.4792,0.28993,1.69612,2.15352,2.2199,0.00967,0.00967,0.00967
12,264.269,1.47268,1.88058,1.89687,0.62563,0.426,0.43837,0.26515,1.78656,2.15172,2.29871,0.009637,0.009637,0.009637
13,285.39,1.46171,1.84637,1.86317,0.53159,0.43479,0.45372,0.27344,1.83039,2.0156,2.22725,0.009604,0.009604,0.009604
14,306.463,1.43462,1.77819,1.83667,0.62421,0.49498,0.50403,0.31581,1.67063,2.00792,2.12135,0.009571,0.009571,0.009571
15,327.624,1.42926,1.75462,1.81973,0.43221,0.42885,0.42657,0.27782,1.67787,2.17488,2.11093,0.009538,0.009538,0.009538
16,348.73,1.39111,1.69551,1.78018,0.56679,0.48768,0.49607,0.33058,1.56096,1.8579,2.05283,0.009505,0.009505,0.009505
17,369.946,1.38734,1.68943,1.77882,0.58061,0.50917,0.50791,0.32306,1.56977,2.02895,2.01651,0.009472,0.009472,0.009472
18,391.075,1.39416,1.67474,1.77957,0.59757,0.49015,0.49574,0.32442,1.56303,1.90103,2.01092,0.009439,0.009439,0.009439
19,412.234,1.37526,1.63768,1.75308,0.668,0.5286,0.53196,0.3377,1.62184,1.96873,2.04257,0.009406,0.009406,0.009406
20,433.347,1.35976,1.62617,1.74329,0.61101,0.51084,0.53087,0.3368,1.61815,1.80525,2.00431,0.009373,0.009373,0.009373
