epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0285,3.19533,4.09608,4.21466,0.00343,0.58479,0.0049,0.00159,2.91498,4.31168,4.15459,0.00327586,0.00327586,0.00327586
2,93.1735,3.20485,4.0014,4.11021,0.00287,0.52174,0.01121,0.00228,3.07686,4.39176,4.00726,0.00658739,0.00658739,0.00658739
3,138.093,2.79482,3.69971,3.50783,0.00492,0.05334,0.00463,0.00127,2.75854,5.42274,4.11606,0.00987691,0.00987691,0.00987691
4,183.448,2.22309,3.16714,2.80285,0.0184,0.06962,0.00735,0.00209,2.92538,13.0518,3.95378,0.009901,0.009901,0.009901
5,228.52,1.8755,2.6545,2.39124,0.15503,0.25831,0.13142,0.04928,2.30428,4.92362,3.2452,0.009868,0.009868,0.009868
6,273.464,1.74324,2.40059,2.22991,0.28563,0.37508,0.2606,0.14379,1.97718,3.04766,2.72413,0.009835,0.009835,0.009835
7,318.401,1.67148,2.24793,2.13347,0.359,0.37961,0.33458,0.17738,2.01153,3.0167,2.62774,0.009802,0.009802,0.009802
8,363.33,1.60729,2.14708,2.06692,0.39862,0.42281,0.389,0.21733,1.87582,2.64552,2.47158,0.009769,0.009769,0.009769
9,408.155,1.58271,2.05783,2.00787,0.49438,0.44143,0.4207,0.25048,1.80222,2.28004,2.37732,0.009736,0.009736,0.009736
10,453.051,1.51461,1.95974,1.94225,0.45549,0.42462,0.42808,0.22865,1.92277,2.55589,2.46193,0.009703,0.009703,0.009703
11,497.909,1.53791,1.95607,1.95913,0.5127,0.41261,0.39962,0.23261,1.83154,2.37053,2.36829,0.00967,0.00967,0.00967
12,542.73,1.4802,1.85883,1.90775,0.48023,0.47252,0.45369,0.24448,1.85729,2.14913,2.38414,0.009637,0.009637,0.009637
13,587.666,1.47877,1.83471,1.88535,0.54896,0.48484,0.48952,0.2708,1.79473,2.07392,2.30101,0.009604,0.009604,0.009604
14,632.534,1.46774,1.78606,1.87529,0.60826,0.47342,0.47732,0.28409,1.71389,2.00658,2.23626,0.009571,0.009571,0.009571
15,677.397,1.44944,1.75675,1.85014,0.57442,0.43145,0.45049,0.26734,1.75599,2.09333,2.27278,0.009538,0.009538,0.009538
16,722.182,1.42065,1.70284,1.81371,0.69427,0.48064,0.53552,0.32492,1.67504,1.85156,2.20333,0.009505,0.009505,0.009505
17,766.952,1.40921,1.71445,1.81376,0.64485,0.50968,0.5429,0.32236,1.72587,1.97129,2.21326,0.009472,0.009472,0.009472
18,811.747,1.4127,1.69509,1.81576,0.58445,0.51014,0.51855,0.29952,1.71137,1.89341,2.20679,0.009439,0.009439,0.009439
19,856.604,1.39595,1.66607,1.78723,0.6306,0.52493,0.53779,0.34281,1.59844,1.94428,2.10038,0.009406,0.009406,0.009406
20,901.4,1.38597,1.63614,1.7875,0.62923,0.54493,0.54126,0.32062,1.70088,1.91461,2.12533,0.009373,0.009373,0.009373
21,946.166,1.38354,1.61995,1.78052,0.69329,0.51444,0.5584,0.3436,1.64035,1.80572,2.10554,0.00934,0.00934,0.00934
22,990.942,1.36389,1.61513,1.75846,0.63714,0.554,0.57281,0.34776,1.58722,1.77202,2.0701,0.009307,0.009307,0.009307
23,1035.78,1.37044,1.5763,1.76994,0.63127,0.52143,0.54518,0.33729,1.62744,1.80981,2.05863,0.009274,0.009274,0.009274
24,1080.59,1.36854,1.57607,1.74876,0.7478,0.54282,0.59132,0.36292,1.61962,1.70549,2.04872,0.009241,0.009241,0.009241
25,1125.48,1.35261,1.55325,1.73698,0.62974,0.53918,0.56241,0.33626,1.64226,1.82676,2.05857,0.009208,0.009208,0.009208
26,1170.28,1.3327,1.53704,1.72661,0.70384,0.55626,0.58621,0.36835,1.59251,1.69659,2.01924,0.009175,0.009175,0.009175
27,1215.13,1.33681,1.51058,1.71859,0.68957,0.57066,0.59856,0.35018,1.64525,1.7071,2.02159,0.009142,0.009142,0.009142
