epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8115,3.20274,4.09985,4.23327,0.00344,0.58685,0.00491,0.00158,2.92169,4.30666,4.1585,0.00327586,0.00327586,0.00327586
2,98.6902,3.20901,3.97917,4.10067,0.00316,0.58248,0.01339,0.00298,2.94475,4.30994,4.01331,0.00658739,0.00658739,0.00658739
3,144.354,2.45907,3.45067,3.18592,0.0032,0.16907,0.00235,0.00082,2.55894,31.1955,3.38538,0.00987691,0.00987691,0.00987691
4,189.388,1.93899,2.90745,2.51092,0.00669,0.13199,0.00406,0.00134,2.68052,23.3413,3.7134,0.009901,0.009901,0.009901
5,234.329,1.70746,2.55375,2.23181,0.15769,0.23378,0.07919,0.03039,2.31606,5.25259,3.21275,0.009868,0.009868,0.009868
6,279.15,1.62996,2.33647,2.14075,0.4777,0.23283,0.21684,0.12859,2.04386,4.11567,2.785,0.009835,0.009835,0.009835
7,324.079,1.5678,2.20606,2.06596,0.24503,0.30073,0.25176,0.1447,2.0682,3.45073,2.71516,0.009802,0.009802,0.009802
8,368.918,1.53295,2.10877,2.02537,0.43425,0.43752,0.37747,0.2114,1.89529,2.79767,2.57343,0.009769,0.009769,0.009769
9,413.657,1.50371,2.01951,1.9676,0.28862,0.24885,0.20813,0.117,2.11027,3.24075,2.57306,0.009736,0.009736,0.009736
10,458.341,1.45522,1.92137,1.91353,0.42315,0.41838,0.38828,0.21092,1.98141,2.66799,2.50623,0.009703,0.009703,0.009703
11,503.012,1.48645,1.92012,1.93382,0.45303,0.42286,0.40875,0.26336,1.7968,2.53046,2.34964,0.00967,0.00967,0.00967
12,547.67,1.43078,1.83103,1.88882,0.50351,0.42209,0.4442,0.24745,1.8511,2.30255,2.29815,0.009637,0.009637,0.009637
13,592.302,1.41899,1.81383,1.86089,0.58951,0.47902,0.49512,0.31038,1.72016,1.96435,2.18772,0.009604,0.009604,0.009604
