epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0884,3.19478,4.07245,4.22663,0.00345,0.5836,0.00436,0.00146,2.92156,4.32312,4.1518,0.00327586,0.00327586,0.00327586
2,107.391,3.12633,3.97261,4.01453,0.00269,0.49002,0.01292,0.00241,3.14369,4.47654,3.92936,0.00658739,0.00658739,0.00658739
3,156.327,2.72754,3.62757,3.34265,0.30756,0.22321,0.04966,0.0134,2.67283,6.25588,3.86235,0.00987691,0.00987691,0.00987691
4,203.805,2.23772,3.06758,2.72023,0.11756,0.27083,0.07082,0.0214,2.53459,8.36947,3.60511,0.009901,0.009901,0.009901
5,254.764,1.8716,2.53452,2.33752,0.20694,0.22937,0.1349,0.05152,2.36406,5.54972,3.26357,0.009868,0.009868,0.009868
6,301.589,1.74388,2.28834,2.19902,0.27464,0.29491,0.20155,0.08251,2.13673,4.04366,2.93632,0.009835,0.009835,0.009835
7,349.328,1.65895,2.16653,2.10218,0.34849,0.38878,0.31561,0.15161,2.08499,3.15388,2.77921,0.009802,0.009802,0.009802
8,397.501,1.5976,2.07718,2.04137,0.33121,0.41991,0.34364,0.17177,2.05778,3.13697,2.67211,0.009769,0.009769,0.009769
9,445.556,1.56424,1.99046,1.97668,0.52299,0.40422,0.39603,0.19692,2.03094,2.96856,2.65299,0.009736,0.009736,0.009736
10,492.851,1.50614,1.90445,1.92316,0.36253,0.43144,0.39305,0.21422,1.951,2.51787,2.55717,0.009703,0.009703,0.009703
11,539.443,1.52791,1.92019,1.93478,0.51941,0.45754,0.45456,0.24925,1.89016,2.36019,2.4178,0.00967,0.00967,0.00967
12,587.512,1.46796,1.82547,1.89021,0.52744,0.4704,0.46345,0.25338,1.91853,2.29408,2.38323,0.009637,0.009637,0.009637
13,634.509,1.4719,1.79901,1.86785,0.52479,0.45506,0.48304,0.26756,1.84283,2.11592,2.3743,0.009604,0.009604,0.009604
14,681.762,1.44026,1.76736,1.84823,0.5381,0.48381,0.46831,0.26008,1.82532,2.3171,2.30842,0.009571,0.009571,0.009571
15,729.669,1.43761,1.74476,1.82986,0.52221,0.48374,0.46509,0.26231,1.79789,2.11493,2.28751,0.009538,0.009538,0.009538
16,776.742,1.41252,1.67773,1.79722,0.58462,0.50748,0.51222,0.28293,1.81382,2.01576,2.32092,0.009505,0.009505,0.009505
17,825.035,1.40681,1.69528,1.79489,0.58041,0.51003,0.51994,0.27239,1.80377,2.0421,2.28111,0.009472,0.009472,0.009472
18,873.07,1.40657,1.67502,1.79905,0.63465,0.53487,0.54753,0.31063,1.78387,1.96269,2.3255,0.009439,0.009439,0.009439
19,920.02,1.39372,1.62752,1.7719,0.65066,0.53724,0.5621,0.33056,1.70879,1.85325,2.20588,0.009406,0.009406,0.009406
20,969.252,1.37762,1.61449,1.75495,0.56859,0.53336,0.52769,0.31022,1.75101,1.87125,2.2069,0.009373,0.009373,0.009373
21,1016.09,1.37625,1.59246,1.7475,0.67518,0.52871,0.56736,0.32936,1.70468,1.85975,2.18355,0.00934,0.00934,0.00934
22,1065.53,1.35359,1.58996,1.73286,0.65537,0.51761,0.55587,0.31752,1.73509,1.98943,2.21797,0.009307,0.009307,0.009307
23,1112.34,1.36296,1.55284,1.74033,0.69298,0.53651,0.58333,0.34735,1.69862,1.78068,2.25731,0.009274,0.009274,0.009274
24,1160.68,1.36334,1.55293,1.72856,0.66231,0.55518,0.58621,0.34805,1.68067,1.86675,2.14178,0.009241,0.009241,0.009241
25,1208.38,1.34251,1.52724,1.71155,0.68029,0.56785,0.60606,0.36648,1.64782,1.62498,2.10438,0.009208,0.009208,0.009208
26,1255.71,1.32495,1.5207,1.71285,0.68639,0.54217,0.59027,0.35268,1.63629,1.65938,2.10876,0.009175,0.009175,0.009175
27,1304.3,1.32949,1.49353,1.70297,0.71507,0.59971,0.63311,0.37686,1.62971,1.62057,2.07493,0.009142,0.009142,0.009142
28,1350.63,1.31568,1.49055,1.69742,0.67058,0.56997,0.61837,0.37534,1.62795,1.62391,2.09338,0.009109,0.009109,0.009109
29,1399.81,1.31817,1.48464,1.69473,0.73119,0.59443,0.63425,0.37947,1.66298,1.57285,2.13553,0.009076,0.009076,0.009076
30,1449.23,1.32622,1.47384,1.69723,0.64831,0.55723,0.56905,0.32552,1.73931,1.85926,2.14584,0.009043,0.009043,0.009043
31,1499.27,1.31152,1.44031,1.67833,0.71533,0.59656,0.65002,0.39396,1.61859,1.5793,2.06549,0.00901,0.00901,0.00901
32,1548.88,1.30355,1.44128,1.6683,0.66209,0.56814,0.60292,0.35985,1.69273,1.85915,2.11602,0.008977,0.008977,0.008977
33,1598.47,1.30353,1.44683,1.67481,0.68483,0.57635,0.61892,0.36136,1.66894,1.64479,2.09695,0.008944,0.008944,0.008944
34,1648.81,1.2912,1.41378,1.66342,0.70743,0.58606,0.62848,0.36961,1.69324,1.59101,2.13844,0.008911,0.008911,0.008911
35,1695.91,1.27651,1.40105,1.65008,0.67482,0.58555,0.59032,0.36725,1.61274,1.62506,2.06053,0.008878,0.008878,0.008878
36,1744.54,1.27128,1.38219,1.64279,0.75216,0.58448,0.63555,0.37795,1.5835,1.58997,2.07731,0.008845,0.008845,0.008845
37,1791.19,1.2692,1.38528,1.65084,0.7301,0.59247,0.6499,0.38497,1.59857,1.5185,1.99978,0.008812,0.008812,0.008812
38,1840.62,1.25808,1.35599,1.63888,0.74978,0.58591,0.6478,0.39621,1.5703,1.53659,2.01257,0.008779,0.008779,0.008779
39,1887.36,1.24363,1.3647,1.63603,0.75532,0.59217,0.65524,0.40214,1.59812,1.53754,2.04452,0.008746,0.008746,0.008746
40,1936.62,1.2601,1.36245,1.63751,0.73578,0.6119,0.65295,0.39529,1.57735,1.47759,2.06953,0.008713,0.008713,0.008713
41,1983.24,1.25022,1.3452,1.63117,0.71803,0.60042,0.63745,0.38084,1.63138,1.58767,2.09222,0.00868,0.00868,0.00868
42,2033.57,1.25534,1.35144,1.62428,0.74961,0.62022,0.65586,0.40961,1.53962,1.4907,1.97689,0.008647,0.008647,0.008647
43,2083.9,1.24579,1.34429,1.6311,0.74225,0.5851,0.62912,0.39178,1.5587,1.54603,2.00367,0.008614,0.008614,0.008614
44,2134.1,1.24655,1.32731,1.62764,0.72064,0.63793,0.67799,0.41567,1.58046,1.41383,2.04188,0.008581,0.008581,0.008581
45,2180.51,1.23015,1.31592,1.60759,0.69866,0.60495,0.62728,0.39731,1.52933,1.54587,1.97247,0.008548,0.008548,0.008548
46,2230.14,1.22102,1.30288,1.60753,0.76468,0.60117,0.67499,0.4134,1.55519,1.40503,1.96592,0.008515,0.008515,0.008515
47,2277.7,1.2427,1.32839,1.62103,0.76482,0.59154,0.65261,0.41658,1.48305,1.44221,1.91267,0.008482,0.008482,0.008482
48,2327.89,1.2029,1.27291,1.59323,0.76415,0.60387,0.65002,0.41157,1.52178,1.49809,1.97995,0.008449,0.008449,0.008449
49,2375.16,1.20967,1.2739,1.60234,0.76305,0.64442,0.6746,0.42817,1.51679,1.39341,1.98069,0.008416,0.008416,0.008416
50,2423.95,1.20323,1.27634,1.5916,0.749,0.64003,0.69704,0.43587,1.53137,1.34667,1.96227,0.008383,0.008383,0.008383
51,2470.12,1.20774,1.26049,1.5921,0.75838,0.64641,0.67724,0.42661,1.51046,1.39343,1.95546,0.00835,0.00835,0.00835
52,2519.66,1.20097,1.25099,1.58623,0.78047,0.61656,0.68759,0.42173,1.5464,1.39666,1.95035,0.008317,0.008317,0.008317
53,2569.65,1.20569,1.24835,1.58358,0.73933,0.62444,0.67534,0.42648,1.51441,1.39415,1.95658,0.008284,0.008284,0.008284
54,2616.32,1.20274,1.25629,1.58297,0.77188,0.62035,0.6781,0.43228,1.48716,1.37298,1.92625,0.008251,0.008251,0.008251
55,2665.33,1.20087,1.25166,1.57704,0.78639,0.63582,0.70457,0.4338,1.51714,1.39252,1.9357,0.008218,0.008218,0.008218
56,2714.16,1.19637,1.23802,1.58112,0.76197,0.63448,0.68018,0.43251,1.48339,1.34979,1.91721,0.008185,0.008185,0.008185
57,2763.43,1.18163,1.21954,1.56136,0.77439,0.63691,0.68993,0.42818,1.53669,1.37158,1.99864,0.008152,0.008152,0.008152
58,2810.1,1.16035,1.18853,1.55031,0.78122,0.64947,0.69611,0.42756,1.52475,1.34857,1.99631,0.008119,0.008119,0.008119
59,2858.31,1.18851,1.19645,1.56687,0.80198,0.65956,0.71238,0.43795,1.54044,1.31552,1.99994,0.008086,0.008086,0.008086
60,2906,1.19689,1.20219,1.56835,0.7754,0.66145,0.70968,0.44998,1.49444,1.31641,1.87493,0.008053,0.008053,0.008053
61,2953.19,1.19214,1.21692,1.5695,0.77608,0.6566,0.70603,0.44192,1.49714,1.34514,1.95626,0.00802,0.00802,0.00802
62,3001.67,1.17833,1.207,1.56592,0.77926,0.6494,0.70617,0.44045,1.49654,1.35212,1.89842,0.007987,0.007987,0.007987
63,3047.97,1.15115,1.17355,1.54325,0.78088,0.62509,0.68924,0.43507,1.47641,1.35459,1.93736,0.007954,0.007954,0.007954
64,3097.37,1.14721,1.17461,1.54281,0.81455,0.66344,0.72059,0.46027,1.43289,1.25158,1.84958,0.007921,0.007921,0.007921
65,3144.15,1.16829,1.18068,1.55122,0.77323,0.63994,0.69911,0.43669,1.50788,1.31977,1.92955,0.007888,0.007888,0.007888
66,3193.09,1.15953,1.16989,1.5376,0.83646,0.65109,0.72021,0.46481,1.44484,1.29705,1.90296,0.007855,0.007855,0.007855
67,3239.88,1.14909,1.16375,1.53934,0.83212,0.66595,0.73039,0.45677,1.50593,1.31047,1.9611,0.007822,0.007822,0.007822
68,3288.88,1.16833,1.16937,1.54827,0.78691,0.67017,0.73125,0.46253,1.44984,1.23022,1.88169,0.007789,0.007789,0.007789
69,3334.88,1.16844,1.16021,1.54146,0.80071,0.66391,0.72911,0.47086,1.44507,1.22985,1.85834,0.007756,0.007756,0.007756
70,3384.77,1.15723,1.1669,1.53736,0.78959,0.65422,0.70916,0.44814,1.46547,1.26144,1.89553,0.007723,0.007723,0.007723
71,3430.05,1.14705,1.13172,1.52679,0.8097,0.65125,0.71665,0.46209,1.46051,1.25361,1.86211,0.00769,0.00769,0.00769
72,3479.66,1.15548,1.13732,1.52963,0.81426,0.65267,0.72403,0.4652,1.45266,1.27402,1.87548,0.007657,0.007657,0.007657
73,3526.44,1.15923,1.14518,1.53174,0.82504,0.66888,0.73544,0.4748,1.40021,1.18765,1.81104,0.007624,0.007624,0.007624
74,3575.74,1.1428,1.13149,1.52396,0.83681,0.66943,0.74161,0.48749,1.39898,1.21179,1.82417,0.007591,0.007591,0.007591
75,3622.69,1.1356,1.13274,1.51844,0.81549,0.67964,0.73368,0.48031,1.38955,1.1967,1.80582,0.007558,0.007558,0.007558
76,3670.85,1.1578,1.14168,1.53946,0.83553,0.67077,0.73935,0.48478,1.36712,1.20193,1.78488,0.007525,0.007525,0.007525
77,3718.75,1.15093,1.12578,1.52233,0.82793,0.67214,0.73997,0.48565,1.38812,1.17388,1.81525,0.007492,0.007492,0.007492
78,3765.93,1.11687,1.09232,1.50654,0.81533,0.68055,0.73988,0.48587,1.38692,1.18559,1.79627,0.007459,0.007459,0.007459
79,3814.28,1.13517,1.10486,1.51499,0.82402,0.67894,0.74562,0.4827,1.38554,1.17646,1.79046,0.007426,0.007426,0.007426
80,3860.75,1.12621,1.11691,1.51493,0.80757,0.6934,0.75365,0.4906,1.40826,1.18399,1.83758,0.007393,0.007393,0.007393
81,3909.77,1.12202,1.09977,1.50902,0.8442,0.6748,0.74186,0.48534,1.39556,1.17264,1.83533,0.00736,0.00736,0.00736
82,3956.17,1.1218,1.09524,1.50195,0.84118,0.68943,0.75287,0.48462,1.39661,1.19411,1.8118,0.007327,0.007327,0.007327
83,4006.34,1.10639,1.07478,1.49811,0.82912,0.68823,0.7479,0.48868,1.37056,1.12654,1.79987,0.007294,0.007294,0.007294
84,4052.95,1.12872,1.09165,1.50624,0.81464,0.67608,0.74272,0.47959,1.38812,1.15875,1.81214,0.007261,0.007261,0.007261
85,4101.68,1.12612,1.09156,1.49938,0.82868,0.68922,0.74963,0.47504,1.413,1.20008,1.82862,0.007228,0.007228,0.007228
86,4148.55,1.10235,1.06705,1.48761,0.84151,0.70099,0.75804,0.49658,1.37737,1.14267,1.7932,0.007195,0.007195,0.007195
87,4196.69,1.11474,1.08607,1.5028,0.80846,0.69505,0.74303,0.48942,1.3987,1.18395,1.79499,0.007162,0.007162,0.007162
88,4244.11,1.10629,1.06013,1.48547,0.82501,0.69282,0.74608,0.49159,1.36449,1.15487,1.77987,0.007129,0.007129,0.007129
89,4291.75,1.11271,1.06692,1.49529,0.83918,0.70061,0.76281,0.50342,1.36235,1.1338,1.77955,0.007096,0.007096,0.007096
90,4339.63,1.08231,1.02687,1.47468,0.82673,0.69123,0.74877,0.50097,1.35503,1.10958,1.74955,0.007063,0.007063,0.007063
91,4386.5,1.10689,1.05986,1.48523,0.82668,0.7031,0.75568,0.4971,1.36856,1.14126,1.79541,0.00703,0.00703,0.00703
92,4435.43,1.0907,1.04741,1.48609,0.84743,0.71514,0.76529,0.5051,1.35615,1.10688,1.75067,0.006997,0.006997,0.006997
93,4481.53,1.10003,1.06674,1.48732,0.84254,0.7038,0.77135,0.50613,1.35595,1.10575,1.80653,0.006964,0.006964,0.006964
94,4529.67,1.09224,1.0389,1.47738,0.83234,0.69542,0.75935,0.50614,1.34522,1.09075,1.74976,0.006931,0.006931,0.006931
95,4576.41,1.09093,1.04451,1.48339,0.84348,0.69964,0.76819,0.50236,1.3515,1.11098,1.75405,0.006898,0.006898,0.006898
96,4624.58,1.09634,1.05303,1.48108,0.84419,0.68643,0.76411,0.50307,1.37709,1.11453,1.78351,0.006865,0.006865,0.006865
97,4671.94,1.07897,1.03579,1.47562,0.85991,0.70955,0.77857,0.5117,1.35564,1.09807,1.77105,0.006832,0.006832,0.006832
98,4719.4,1.09471,1.04676,1.47368,0.83954,0.69637,0.76931,0.50686,1.35184,1.1114,1.7657,0.006799,0.006799,0.006799
99,4767.34,1.0856,1.02559,1.46165,0.82104,0.70781,0.76336,0.51124,1.3221,1.10577,1.75865,0.006766,0.006766,0.006766
100,4814.17,1.08551,1.04166,1.47392,0.83004,0.72939,0.7773,0.51451,1.33191,1.07026,1.75137,0.006733,0.006733,0.006733
101,4862.78,1.07218,1.01721,1.46372,0.83593,0.7034,0.76271,0.50049,1.37958,1.11524,1.79011,0.0067,0.0067,0.0067
102,4909.02,1.09212,1.03398,1.46737,0.83087,0.70979,0.76947,0.50448,1.35994,1.06312,1.77425,0.006667,0.006667,0.006667
103,4958.43,1.07314,1.02178,1.45869,0.85156,0.71842,0.78512,0.52284,1.32604,1.05991,1.75654,0.006634,0.006634,0.006634
104,5005.04,1.07311,1.00699,1.4611,0.85852,0.68431,0.77332,0.51147,1.34409,1.07944,1.75358,0.006601,0.006601,0.006601
105,5054.32,1.06892,1.01073,1.45713,0.82641,0.71581,0.77606,0.5266,1.30769,1.0352,1.7041,0.006568,0.006568,0.006568
106,5100.74,1.06126,0.99721,1.45702,0.83621,0.71557,0.77115,0.51747,1.30178,1.02976,1.69763,0.006535,0.006535,0.006535
107,5149.31,1.06166,1.00901,1.45056,0.85199,0.7068,0.77419,0.52263,1.32455,1.06272,1.75484,0.006502,0.006502,0.006502
108,5196.71,1.06281,1.01182,1.4572,0.84545,0.70457,0.77102,0.51997,1.31483,1.06421,1.75538,0.006469,0.006469,0.006469
109,5244.27,1.05987,0.99756,1.45272,0.8196,0.71287,0.77043,0.51367,1.3395,1.06612,1.75368,0.006436,0.006436,0.006436
110,5292.33,1.05473,0.98246,1.44289,0.83492,0.71694,0.77548,0.52635,1.30406,1.05892,1.73546,0.006403,0.006403,0.006403
111,5339.11,1.05719,0.98624,1.45773,0.86248,0.71527,0.77715,0.5217,1.31937,1.03627,1.72805,0.00637,0.00637,0.00637
112,5387.87,1.05931,0.99513,1.44755,0.83105,0.72488,0.77712,0.52518,1.30593,1.04392,1.70585,0.006337,0.006337,0.006337
113,5434.06,1.05133,0.96978,1.43822,0.82978,0.71559,0.77416,0.51771,1.31882,1.0487,1.72049,0.006304,0.006304,0.006304
114,5483.95,1.04786,0.97738,1.43023,0.88539,0.71453,0.78671,0.53282,1.29743,1.01697,1.7117,0.006271,0.006271,0.006271
115,5530.56,1.06415,0.9938,1.4493,0.85301,0.72022,0.78648,0.53247,1.2834,1.00107,1.68596,0.006238,0.006238,0.006238
116,5578.76,1.04788,0.97435,1.43878,0.85749,0.73007,0.78793,0.52826,1.30934,1.01213,1.71051,0.006205,0.006205,0.006205
117,5625.96,1.03677,0.96615,1.43808,0.86856,0.72066,0.78697,0.53209,1.30067,1.00189,1.70381,0.006172,0.006172,0.006172
118,5675.28,1.0442,0.96932,1.43873,0.86221,0.72548,0.79067,0.53829,1.29564,1.00994,1.7058,0.006139,0.006139,0.006139
119,5721.57,1.03974,0.95452,1.4346,0.88077,0.71553,0.78479,0.53454,1.30514,1.00667,1.73485,0.006106,0.006106,0.006106
120,5768.86,1.04239,0.96816,1.43367,0.87008,0.73297,0.79259,0.53623,1.29222,0.98645,1.69603,0.006073,0.006073,0.006073
121,5815.7,1.02334,0.9525,1.42109,0.86124,0.72428,0.79449,0.5363,1.2952,1.00536,1.71507,0.00604,0.00604,0.00604
122,5862.95,1.03312,0.94532,1.42629,0.87681,0.71041,0.78842,0.53863,1.27727,1.00107,1.70517,0.006007,0.006007,0.006007
123,5909.61,1.03057,0.94703,1.41856,0.84104,0.71872,0.78438,0.52833,1.29394,1.0257,1.71156,0.005974,0.005974,0.005974
124,5959.13,1.02571,0.93065,1.42115,0.88163,0.70291,0.78378,0.53197,1.29225,1.00819,1.71298,0.005941,0.005941,0.005941
125,6005.2,1.03188,0.9396,1.41882,0.86684,0.69918,0.78893,0.52971,1.29859,1.01313,1.71868,0.005908,0.005908,0.005908
126,6054.33,1.02582,0.93251,1.42067,0.84856,0.72134,0.78944,0.53847,1.27299,0.97947,1.6872,0.005875,0.005875,0.005875
127,6100.75,1.01443,0.94287,1.41153,0.86261,0.71995,0.79767,0.53243,1.29433,0.97961,1.69958,0.005842,0.005842,0.005842
128,6147.1,1.02645,0.93846,1.41247,0.87022,0.72301,0.79039,0.5414,1.27474,0.97922,1.67025,0.005809,0.005809,0.005809
129,6196.04,1.01674,0.92618,1.41512,0.88036,0.70658,0.79107,0.54277,1.27942,0.99361,1.67492,0.005776,0.005776,0.005776
130,6242.93,1.01777,0.93227,1.40921,0.87012,0.72418,0.79658,0.54347,1.27278,0.988,1.68645,0.005743,0.005743,0.005743
131,6291.1,1.01212,0.91525,1.40134,0.87722,0.71487,0.79518,0.54258,1.2835,0.97871,1.68145,0.00571,0.00571,0.00571
132,6337.53,1.01335,0.9266,1.41286,0.87165,0.72148,0.79713,0.53634,1.28089,0.99457,1.69614,0.005677,0.005677,0.005677
133,6385.05,1.00996,0.92015,1.40845,0.87273,0.72598,0.80305,0.5438,1.28513,0.96855,1.69134,0.005644,0.005644,0.005644
134,6431.66,1.01005,0.91831,1.40713,0.88364,0.71969,0.80104,0.54467,1.27795,0.97603,1.66939,0.005611,0.005611,0.005611
135,6478.26,1.00294,0.90072,1.40795,0.86757,0.73117,0.79688,0.53691,1.29068,0.98404,1.68834,0.005578,0.005578,0.005578
136,6524.47,1.00637,0.91551,1.40039,0.85784,0.73827,0.80324,0.54486,1.27986,0.98266,1.68589,0.005545,0.005545,0.005545
137,6570.86,1.01439,0.92015,1.411,0.87785,0.73646,0.8028,0.54783,1.26607,0.97383,1.65895,0.005512,0.005512,0.005512
138,6618.99,0.98951,0.89434,1.39888,0.88918,0.72271,0.8068,0.55307,1.25587,0.95687,1.65399,0.005479,0.005479,0.005479
139,6665.28,0.99952,0.90509,1.40093,0.88156,0.72298,0.80701,0.54953,1.26754,0.97013,1.67826,0.005446,0.005446,0.005446
140,6713.77,0.99469,0.90803,1.39611,0.88201,0.72965,0.80867,0.55098,1.2575,0.95008,1.65984,0.005413,0.005413,0.005413
141,6760.52,0.97544,0.88435,1.38007,0.86897,0.72721,0.80703,0.54485,1.2716,0.95487,1.67223,0.00538,0.00538,0.00538
142,6809.79,1.01285,0.89925,1.39503,0.86833,0.73712,0.80665,0.55031,1.26588,0.95784,1.66632,0.005347,0.005347,0.005347
143,6856.61,1.00163,0.90686,1.39715,0.90154,0.73146,0.80675,0.55323,1.25491,0.94196,1.65699,0.005314,0.005314,0.005314
144,6906.44,0.992,0.88543,1.38669,0.86574,0.73145,0.80399,0.54618,1.25608,0.95005,1.65535,0.005281,0.005281,0.005281
145,6952.9,0.99378,0.88538,1.3925,0.90096,0.72724,0.79906,0.54894,1.25768,0.94397,1.65279,0.005248,0.005248,0.005248
146,7001.27,0.97938,0.88474,1.38685,0.87898,0.7313,0.79792,0.54903,1.25549,0.94617,1.64868,0.005215,0.005215,0.005215
