epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0222,3.2074,4.11318,4.23068,0.00343,0.58129,0.00427,0.00142,2.90818,4.29823,4.15451,0.00327586,0.00327586,0.00327586
2,56.9725,3.25158,4.13248,4.21397,0.00398,0.5457,0.00541,0.00165,2.82967,14.2437,5.37108,0.00658739,0.00658739,0.00658739
3,78.2648,3.21123,4.05941,4.13002,0.00162,0.15161,0.00209,0.00042,3.74584,6083,737.426,0.00987691,0.00987691,0.00987691
4,100.963,2.70509,3.66939,3.29492,0.00063,0.01004,0.00045,9e-05,4.03367,5.76033,5.73171,0.009901,0.009901,0.009901
5,126.858,2.12559,3.11361,2.6735,0.01545,0.31199,0.01094,0.00476,2.31069,8.12317,3.19624,0.009868,0.009868,0.009868
6,148.645,1.86741,2.7173,2.36623,0.59486,0.19172,0.10195,0.06031,2.23881,5.88035,3.12506,0.009835,0.009835,0.009835
7,172.272,1.71142,2.51175,2.20523,0.49058,0.29377,0.20745,0.11287,2.01195,3.1555,2.83797,0.009802,0.009802,0.009802
8,197.86,1.62715,2.33836,2.1111,0.25392,0.35084,0.28156,0.16513,1.91233,2.9248,2.75587,0.009769,0.009769,0.009769
9,223.473,1.59359,2.19509,2.04656,0.36607,0.34471,0.25371,0.14221,1.8621,2.92034,2.58495,0.009736,0.009736,0.009736
10,244.89,1.52164,2.04139,1.97487,0.32436,0.40659,0.35011,0.20265,1.79911,2.77722,2.49103,0.009703,0.009703,0.009703
11,268.433,1.54623,2.01415,1.98202,0.51512,0.43428,0.44174,0.26592,1.76883,2.2579,2.34616,0.00967,0.00967,0.00967
12,293.447,1.47552,1.90727,1.92661,0.5715,0.4581,0.46137,0.29381,1.74068,2.08486,2.30494,0.009637,0.009637,0.009637
13,314.497,1.46724,1.87972,1.89577,0.42343,0.46292,0.43649,0.26393,1.72696,2.17975,2.21385,0.009604,0.009604,0.009604
14,338.364,1.45294,1.81705,1.88077,0.58214,0.4891,0.48013,0.27696,1.73169,2.02859,2.27857,0.009571,0.009571,0.009571
15,364.222,1.44205,1.78787,1.85062,0.57695,0.48005,0.47189,0.27892,1.7613,2.1176,2.21776,0.009538,0.009538,0.009538
16,389.686,1.41344,1.72564,1.82101,0.60698,0.44765,0.47193,0.30167,1.64599,2.03949,2.2292,0.009505,0.009505,0.009505
17,414.554,1.41187,1.73586,1.81985,0.48529,0.41974,0.41357,0.25024,1.936,2.56346,2.36658,0.009472,0.009472,0.009472
18,435.7,1.4117,1.71353,1.8112,0.62591,0.46809,0.50135,0.30839,1.64107,2.09903,2.09295,0.009439,0.009439,0.009439
19,459.484,1.39328,1.66812,1.79137,0.67323,0.49216,0.52333,0.33459,1.58716,1.84824,2.05727,0.009406,0.009406,0.009406
20,482.355,1.37979,1.651,1.77543,0.63258,0.4877,0.50474,0.32387,1.64959,1.89422,2.035,0.009373,0.009373,0.009373
21,504.379,1.37937,1.62194,1.77022,0.54537,0.50649,0.5193,0.31622,1.61401,1.93211,2.02334,0.00934,0.00934,0.00934
22,529.677,1.35255,1.61861,1.75032,0.59178,0.52637,0.51941,0.30303,1.63717,2.02002,2.02787,0.009307,0.009307,0.009307
23,555.055,1.35154,1.58145,1.74783,0.62923,0.47616,0.52541,0.33359,1.5794,1.96596,1.97201,0.009274,0.009274,0.009274
24,579.38,1.36704,1.57709,1.74481,0.67106,0.53745,0.57559,0.37052,1.55242,1.70047,1.98383,0.009241,0.009241,0.009241
25,600.502,1.33085,1.54389,1.72193,0.72656,0.51481,0.57564,0.35916,1.55548,1.72363,1.96014,0.009208,0.009208,0.009208
26,621.523,1.31278,1.52309,1.70951,0.64317,0.5504,0.56726,0.36332,1.53227,1.65471,1.95921,0.009175,0.009175,0.009175
