epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.959,3.20849,4.09927,4.2262,0.00345,0.58693,0.00403,0.00136,2.90997,4.3097,4.16077,0.00327586,0.00327586,0.00327586
2,61.4621,3.24623,4.10906,4.20695,0.00661,0.07553,0.00429,0.00117,2.89513,5.9868,5.99312,0.00658739,0.00658739,0.00658739
3,82.7774,3.20345,4.01547,4.1162,5e-05,0.0101,3e-05,1e-05,3.93303,302803,5201.71,0.00987691,0.00987691,0.00987691
4,104.298,2.89229,3.67921,3.486,0.30551,0.02985,0.01186,0.00332,3.33055,15.831,5.53983,0.009901,0.009901,0.009901
5,125.801,2.41913,3.28696,2.96408,0.01119,0.04779,0.00374,0.00093,3.45708,7.37141,3.885,0.009868,0.009868,0.009868
6,147.378,2.12136,2.94104,2.63638,0.58407,0.09877,0.05398,0.02406,2.33417,8.92395,3.24718,0.009835,0.009835,0.009835
7,168.721,1.93663,2.6613,2.4137,0.46292,0.13917,0.11801,0.0524,2.21672,5.73854,3.12892,0.009802,0.009802,0.009802
8,190.117,1.80932,2.49313,2.27762,0.65297,0.28746,0.28559,0.16525,2.00324,3.96552,2.95111,0.009769,0.009769,0.009769
9,211.52,1.74093,2.35218,2.17448,0.76759,0.29829,0.34905,0.21261,1.96657,2.79623,2.73858,0.009736,0.009736,0.009736
10,232.811,1.64222,2.17985,2.06829,0.33647,0.32131,0.28208,0.17246,1.91734,2.85907,2.61724,0.009703,0.009703,0.009703
11,254.342,1.63031,2.14104,2.05796,0.40586,0.32917,0.31341,0.20078,2.0157,3.32962,2.61089,0.00967,0.00967,0.00967
12,275.705,1.55976,2.02724,1.99345,0.47099,0.42325,0.41396,0.24623,1.94089,2.393,2.53278,0.009637,0.009637,0.009637
